# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jun 11 05:48:18 2015
#
# COLUMN pl_hostname:    (not found)
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_massj:       Planet Mass [Jupiter mass]
# COLUMN pl_msinij:      Planet M*sin(i) [Jupiter mass]
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_vj:          V-band (Johnson) [mag]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN hd_name:        HD Name
# COLUMN hip_name:       HIP Name
# COLUMN pl_name:        Planet Name
# COLUMN pl_disc:        Year of Discovery
# COLUMN pl_pelink:      Link to Exoplanet Encyclopaedia
#
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_msinij,pl_radj,pl_dens,pl_orbincl,pl_kepflag,ra,dec,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,pl_name,pl_disc,pl_pelink
19,47 UMa,b,Radial Velocity,3,1078.00000000,2.100000,0.032000,,2.53000,,,,0,164.866562,40.430256,14.08,5.050,5892.00,1.0300,1.23,HD 95128,HIP 53721,47 UMa b,1996,http://exoplanet.eu/catalog/47_uma_b/
20,47 UMa,c,Radial Velocity,3,2391.00000000,3.600000,0.098000,,0.54000,,,,0,164.866562,40.430256,14.08,5.050,5892.00,1.0300,1.23,HD 95128,HIP 53721,47 UMa c,2001,http://exoplanet.eu/catalog/47_uma_c/
21,47 UMa,d,Radial Velocity,3,14002.00000000,11.600000,0.160000,,1.64000,,,,0,164.866562,40.430256,14.08,5.050,5892.00,1.0300,1.23,HD 95128,HIP 53721,47 UMa d,2009,http://exoplanet.eu/catalog/47_uma_d/
22,51 Peg,b,Radial Velocity,1,4.23078500,0.052700,0.013000,,0.47200,,,,0,344.366577,20.768833,15.36,5.500,5793.00,1.1200,1.20,HD 217014,HIP 113357,51 Peg b,1995,http://exoplanet.eu/catalog/51_peg_b/
23,55 Cnc,b,Radial Velocity,5,14.65152000,0.115227,0.003400,0.83060,,,,90.000,0,133.149216,28.330818,12.53,5.960,5196.00,0.9050,0.94,HD 75732,HIP 43587,55 Cnc b,1996,http://exoplanet.eu/catalog/55_cnc_b/
24,55 Cnc,c,Radial Velocity,5,44.41750000,0.241376,0.020000,0.17140,,,,90.000,0,133.149216,28.330818,12.53,5.960,5196.00,0.9050,0.94,HD 75732,HIP 43587,55 Cnc c,2004,http://exoplanet.eu/catalog/55_cnc_c/
25,55 Cnc,d,Radial Velocity,5,4825.00000000,5.503000,0.019000,3.87800,,,,90.000,0,133.149216,28.330818,12.53,5.960,5196.00,0.9050,0.94,HD 75732,HIP 43587,55 Cnc d,2002,http://exoplanet.eu/catalog/55_cnc_d/
26,55 Cnc,e,Radial Velocity,5,0.73655150,0.015691,0.040000,0.02561,,,,90.000,0,133.149216,28.330818,12.53,5.960,5196.00,0.9050,0.94,HD 75732,HIP 43587,55 Cnc e,2004,http://exoplanet.eu/catalog/55_cnc_e/
27,55 Cnc,f,Radial Velocity,5,262.00000000,0.788000,0.305000,0.14100,,,,90.000,0,133.149216,28.330818,12.53,5.960,5196.00,0.9050,0.94,HD 75732,HIP 43587,55 Cnc f,2007,http://exoplanet.eu/catalog/55_cnc_f/
28,6 Lyn,b,Radial Velocity,1,874.77400000,2.180000,0.059000,,2.21000,,,,0,97.696281,58.162632,56.95,,4978.00,1.7000,5.20,HD 45410,HIP 31039,6 Lyn b,2008,http://exoplanet.eu/catalog/6_lyn_b/
29,61 Vir,b,Radial Velocity,3,4.21500000,0.050201,0.120000,,0.01600,,,,0,199.601318,-18.311195,8.52,4.740,5577.00,0.9420,0.96,HD 115617,HIP 64924,61 Vir b,2009,http://exoplanet.eu/catalog/61_vir_b/
30,61 Vir,c,Radial Velocity,3,38.02100000,0.217500,0.140000,,0.05700,,,,0,199.601318,-18.311195,8.52,4.740,5577.00,0.9420,0.96,HD 115617,HIP 64924,61 Vir c,2009,http://exoplanet.eu/catalog/61_vir_c/
31,61 Vir,d,Radial Velocity,3,123.01000000,0.476000,0.350000,,0.07200,,,,0,199.601318,-18.311195,8.52,4.740,5577.00,0.9420,0.96,HD 115617,HIP 64924,61 Vir d,2009,http://exoplanet.eu/catalog/61_vir_d/
32,7 CMa,b,Radial Velocity,1,763.00000000,1.900000,0.140000,,2.60000,,,,0,99.170990,-19.255878,19.84,3.920,4792.00,1.5200,2.30,HD 47205,HIP 31592,7 CMa b,2011,http://exoplanet.eu/catalog/7_cma_b/
33,70 Vir,b,Radial Velocity,1,116.69260000,0.481000,0.399000,,7.40000,,,,0,202.107544,13.778788,18.11,4.980,5439.00,1.0900,1.94,HD 117176,HIP 65721,70 Vir b,1996,http://exoplanet.eu/catalog/70_vir_b/
34,75 Cet,b,Radial Velocity,1,691.90000000,2.100000,0.117000,3.00000,,,,,0,38.039253,-1.034896,81.50,5.350,4846.00,2.4900,10.50,HD 15779,HIP 11791,75 Cet b,2012,http://exoplanet.eu/catalog/75_cet_b/
35,81 Cet,b,Radial Velocity,1,952.70000000,2.500000,0.206000,,5.30000,,,,0,39.424168,-3.396175,97.18,5.650,4785.00,2.4000,11.00,HD 16400,HIP 12247,81 Cet b,2008,http://exoplanet.eu/catalog/81_cet_b/
36,91 Aqr,b,Radial Velocity,1,181.40000000,0.700000,0.027000,,3.20000,,,,0,348.972900,-9.087737,45.52,4.250,4665.00,1.4000,11.00,HD 219449,HIP 114855,91 Aqr b,2013,http://exoplanet.eu/catalog/91_aqr_b/
37,AB Pic,b,Imaging,1,,260.000000,,13.50000,,,,,0,94.803802,-58.054310,45.52,9.128,,,,HD 44627,HIP 30034,AB Pic b,2005,http://exoplanet.eu/catalog/ab_pic_b/
38,BD+14 4559,b,Radial Velocity,1,268.94000000,0.777000,0.290000,,1.47000,,,,0,318.399963,14.689387,50.03,9.630,5008.00,0.8600,0.95,,HIP 104780,BD+14 4559 b,2009,http://exoplanet.eu/catalog/bd14_4559_b/
39,BD+15 2940,b,Radial Velocity,1,137.48000000,0.539000,0.260000,,1.11000,,,,0,240.095566,15.546930,175.44,9.046,4796.00,1.1000,14.70,,HIP 78407,BD+15 2940 b,2013,http://exoplanet.eu/catalog/bd+15_2940_b/
40,BD+20 1790,b,Radial Velocity,1,7.78287000,0.066000,0.220000,,6.37000,,,,0,110.931610,20.416334,25.40,,4410.00,0.6300,0.71,,,BD+20 1790 b,2010,
41,BD+20 2457,b,Radial Velocity,2,379.63000000,1.450000,0.150000,,21.42000,,,,0,154.186905,19.891409,,9.750,4137.00,2.8000,49.00,,,BD+20 2457 b,2009,http://exoplanet.eu/catalog/bd20_2457_b/
42,BD+20 2457,c,Radial Velocity,2,621.99000000,2.010000,0.180000,,12.47000,,,,0,154.186905,19.891409,,9.750,4137.00,2.8000,49.00,,,BD+20 2457 c,2009,http://exoplanet.eu/catalog/bd20_2457_c/
43,BD+20 274,b,Radial Velocity,1,578.20000000,1.300000,0.210000,4.20000,,,,,0,25.920324,21.005314,,9.360,4296.00,0.8000,17.30,,,BD+20 274 b,2012,http://exoplanet.eu/catalog/bd+20_274_c/
44,BD+48 738,b,Radial Velocity,1,,,,,,,,,0,40.710224,49.586960,,9.140,4414.00,0.7400,11.00,,,BD+48 738 b,2011,http://exoplanet.eu/catalog/bd_+48_738_b/
45,BD+49 828,b,Radial Velocity,1,2590.00000000,4.200000,0.350000,,1.60000,,,,0,45.640530,49.730011,,9.380,4943.00,1.5200,7.60,,,BD+49 828 b,2015,http://exoplanet.eu/catalog/bd+49_828/
46,BD-06 1339,b,Radial Velocity,2,3.87280000,0.042800,0.000000,,0.02700,,,,0,88.251183,-5.994844,20.10,9.700,4324.00,0.7000,,,HIP 27803,BD-06 1339 b,2013,http://exoplanet.eu/catalog/bd-061339_b/
47,BD-06 1339,c,Radial Velocity,2,125.94000000,0.435000,0.310000,,0.17000,,,,0,88.251183,-5.994844,20.10,9.700,4324.00,0.7000,,,HIP 27803,BD-06 1339 c,2013,http://exoplanet.eu/catalog/bd-061339_c/
48,BD-08 2823,b,Radial Velocity,2,5.60000000,0.056000,0.150000,,0.04500,,,,0,150.198837,-9.516680,42.09,9.880,4746.00,0.7400,,,HIP 49067,BD-08 2823 b,2009,http://exoplanet.eu/catalog/bd-082823_b/
49,BD-08 2823,c,Radial Velocity,2,237.60000000,0.680000,0.190000,,0.33000,,,,0,150.198837,-9.516680,42.09,9.880,4746.00,0.7400,,,HIP 49067,BD-08 2823 c,2009,http://exoplanet.eu/catalog/bd-082823_c/
50,BD-10 3166,b,Radial Velocity,1,3.48777000,0.045200,0.019000,,0.45800,,,,0,164.619936,-10.770373,80.00,10.080,5393.00,1.0100,,,,BD-10 3166 b,2000,http://exoplanet.eu/catalog/bd-10_3166_b/
51,BD-11 4672,b,Radial Velocity,1,1667.00000000,2.280000,0.050000,,0.53000,,,,0,278.370148,-11.636039,27.30,9.990,4475.00,0.5710,0.52,,HIP 90979,BD-11 4672 b,2014,
52,BD-13 2130,b,Radial Velocity,1,714.30000000,2.100000,0.210000,,10.60000,,,,0,114.288492,-13.906663,766.00,9.450,,2.4000,,,,BD-13 2130 b,2007,http://exoplanet.eu/catalog/ngc_2423_3_b/
53,BD-17 63,b,Radial Velocity,1,655.60000000,1.340000,0.540000,,5.10000,,,,0,7.142942,-16.226345,37.54,9.566,4714.00,0.7400,0.69,,HIP 2247,BD-17 63 b,2008,http://exoplanet.eu/catalog/bd-17_63_b/
54,CFBDSIR J145829+101343,b,Imaging,1,10037.50000000,2.600000,,10.50000,,,,,0,224.620834,10.228611,23.10,,580.50,0.0210,,,,CFBDSIR J145829+101343 b,2011,http://exoplanet.eu/catalog/cfbds_1458_b/
55,CHXR 73,b,Imaging,1,,210.000000,,12.56900,,,,,0,166.619888,-77.625877,,,,0.3500,,,,CHXR 73 b,2006,http://exoplanet.eu/catalog/chxr_73_b/
56,CT Cha,b,Imaging,1,,440.000000,,17.00000,,2.200,,,0,166.037872,-76.455383,165.00,,,,,,,CT Cha b,2007,http://exoplanet.eu/catalog/ct_cha_b/
57,CoRoT-1,b,Transit,1,1.50895570,,0.000000,1.03000,,1.490,0.38000,85.100,0,102.079887,-3.102147,,13.600,5950.00,0.9500,1.11,,,CoRoT-1 b,2008,http://exoplanet.eu/catalog/corot-1_b/
58,CoRoT-10,b,Transit,1,13.24060000,0.105500,0.530000,2.75000,,0.970,3.70000,88.550,0,291.063721,0.746143,345.00,15.220,5075.00,0.8900,0.79,,,CoRoT-10 b,2010,http://exoplanet.eu/catalog/corot-10_b/
59,CoRoT-11,b,Transit,1,2.99433000,0.043600,0.000000,2.33000,,1.430,0.99000,83.170,0,280.687256,5.937688,560.00,,6440.00,1.2700,1.37,,,CoRoT-11 b,2010,http://exoplanet.eu/catalog/corot-11_b/
60,CoRoT-12,b,Transit,1,2.82804200,0.040160,0.070000,0.91700,,1.440,0.41100,85.480,0,100.765678,-1.296439,1150.00,15.515,5675.00,1.0780,1.12,,,CoRoT-12 b,2010,http://exoplanet.eu/catalog/corot-12_b/
61,CoRoT-13,b,Transit,1,4.03519000,0.051000,0.000000,1.30800,,0.885,2.34000,88.020,0,102.721138,-5.086445,1060.00,15.039,5945.00,1.0900,1.01,,,CoRoT-13 b,2010,http://exoplanet.eu/catalog/corot-13_b/
62,CoRoT-14,b,Transit,1,1.51214000,0.027000,0.000000,7.60000,,1.090,7.30000,79.600,0,103.424210,-5.536037,1340.00,16.033,6035.00,1.1300,1.21,,,CoRoT-14 b,2010,http://exoplanet.eu/catalog/corot-14_b/
63,CoRoT-16,b,Transit,1,5.35227000,0.061800,0.330000,0.53500,,1.170,0.44000,85.010,0,278.524689,-6.002595,840.00,15.630,5650.00,1.0980,1.19,,,CoRoT-16 b,2011,http://exoplanet.eu/catalog/corot-16_b/
64,CoRoT-17,b,Transit,1,3.76810000,0.046100,0.000000,2.43000,,1.020,2.82000,88.340,0,278.699249,-6.612234,920.00,15.460,5740.00,1.0400,1.59,,,CoRoT-17 b,2011,http://exoplanet.eu/catalog/corot-17_b/
65,CoRoT-18,b,Transit,1,1.90006930,0.029500,0.080000,3.47000,,1.310,2.20000,86.500,0,98.172409,-0.031586,870.00,15.000,5440.00,0.9500,1.00,,,CoRoT-18 b,2011,http://exoplanet.eu/catalog/corot-18_b/
66,CoRoT-19,b,Transit,1,3.89713000,0.051800,0.047000,1.11000,,1.290,0.71000,88.000,0,97.033585,-0.170681,770.00,14.007,6090.00,1.2100,1.65,,,CoRoT-19 b,2011,http://exoplanet.eu/catalog/corot-19_b/
67,CoRoT-2,b,Transit,1,1.74299350,0.027980,0.014300,3.47000,,1.466,1.47000,88.080,0,291.777069,1.383714,200.00,12.570,5625.00,0.9600,0.91,,,CoRoT-2 b,2008,http://exoplanet.eu/catalog/corot-2_b/
68,CoRoT-20,b,Transit,1,9.24285000,0.090200,0.562000,4.24000,,0.840,8.87000,88.210,0,97.720406,0.226919,1230.00,14.660,5880.00,1.1400,1.02,,,CoRoT-20 b,2011,http://exoplanet.eu/catalog/corot-20_b/
69,CoRoT-22,b,Transit,1,9.75598000,0.092000,0.077000,0.03800,,0.435,0.24900,89.749,0,280.667114,6.219136,592.00,13.944,5939.00,1.0990,1.14,,,CoRoT-22 b,2014,
70,CoRoT-23,b,Transit,1,3.63130000,0.048000,0.160000,2.80000,,1.050,3.00000,85.700,0,279.782623,4.357806,600.00,15.630,5900.00,1.1400,1.61,,,CoRoT-23 b,2011,http://exoplanet.eu/catalog/corot-23_b/
71,CoRoT-24,b,Transit,2,5.11340000,0.056000,0.000000,0.01800,,0.330,0.90000,86.500,0,101.922546,-3.719301,600.00,,4950.00,0.9100,0.86,,,CoRoT-24 b,2014,
72,CoRoT-24,c,Transit,2,11.75900000,0.098000,0.000000,0.08800,,0.440,1.30000,89.000,0,101.922546,-3.719301,600.00,,4950.00,0.9100,0.86,,,CoRoT-24 c,2014,
73,CoRoT-25,b,Transit,1,4.86069000,0.057800,0.000000,0.27000,,1.080,0.15000,84.500,0,280.629669,6.513829,1000.00,,6040.00,1.0900,1.19,,,CoRoT-25 b,2013,http://exoplanet.eu/catalog/corot-25_b/
74,CoRoT-26,b,Transit,1,4.20474000,0.052600,0.000000,0.52000,,1.260,0.28000,86.800,0,279.750519,6.969787,1670.00,,5590.00,1.0900,1.79,,,CoRoT-26 b,2013,http://exoplanet.eu/catalog/corot-26_b/
75,CoRoT-27,b,Transit,1,3.57532000,0.047600,0.065000,10.39000,,1.007,12.60000,86.700,0,278.495819,5.538462,,15.540,5900.00,1.0500,1.08,,,CoRoT-27 b,2014,http://exoplanet.eu/catalog/corot-27_b/
76,CoRoT-28,b,Transit,1,5.20851000,0.060300,0.047000,0.48400,,0.955,0.69000,88.100,0,278.688324,5.573730,560.00,,5150.00,1.0100,1.78,,,CoRoT-28 b,2015,http://exoplanet.eu/catalog/corot-28_b/
77,CoRoT-29,b,Transit,1,2.85057000,0.038600,0.082000,0.85000,,0.900,1.45000,87.300,0,278.902100,6.479651,765.00,,5260.00,0.9700,0.90,,,CoRoT-29 b,2015,http://exoplanet.eu/catalog/corot-29_b/
78,CoRoT-3,b,Transit,1,4.25680000,,0.000000,21.66000,,1.010,26.40000,85.900,0,292.055267,0.121820,680.00,,6740.00,1.3700,1.56,,,CoRoT-3 b,2008,http://exoplanet.eu/catalog/corot-3_b/
79,CoRoT-4,b,Transit,1,9.20205000,0.090000,0.000000,0.72000,,1.190,0.52500,90.000,0,102.194664,-0.672774,,,6190.00,1.1600,1.17,,,CoRoT-4 b,2008,http://exoplanet.eu/catalog/corot-4_b/
80,CoRoT-5,b,Transit,1,4.03789620,0.049470,0.090000,0.46700,,1.388,0.21700,85.830,0,101.277254,0.815239,,,6100.00,1.0000,1.19,,,CoRoT-5 b,2009,http://exoplanet.eu/catalog/corot-5_b/
81,CoRoT-6,b,Transit,1,8.88659300,0.085500,0.100000,2.96000,,1.166,2.32000,89.070,0,281.072525,6.663194,,13.912,6090.00,1.0500,1.02,,,CoRoT-6 b,2009,http://exoplanet.eu/catalog/corot-6_b/
82,CoRoT-7,b,Transit,2,0.85359159,0.017016,0.000000,0.01800,,0.141,7.50000,80.780,0,100.956125,-1.063033,153.70,11.668,5259.00,0.9130,0.82,,,CoRoT-7 b,2009,http://exoplanet.eu/catalog/corot-7_b/
83,CoRoT-7,c,Radial Velocity,2,3.69800000,0.046000,0.000000,0.02600,,,,,0,100.956125,-1.063033,153.70,11.668,5259.00,0.9130,0.82,,,CoRoT-7 c,2009,http://exoplanet.eu/catalog/corot-7_c/
84,CoRoT-8,b,Transit,1,6.21229000,0.063000,0.000000,0.22000,,0.570,1.60000,88.400,0,291.588531,1.426452,380.00,14.800,5080.00,0.8800,0.77,,,CoRoT-8 b,2010,http://exoplanet.eu/catalog/corot-8_b/
85,CoRoT-9,b,Transit,1,95.27380000,0.407000,0.110000,0.84000,,1.050,0.90000,89.990,0,280.786713,6.204172,460.00,13.690,5625.00,0.9900,0.94,,,CoRoT-9 b,2009,http://exoplanet.eu/catalog/corot-9_b/
86,DENIS-P J082303.1-491201,b,Astrometry,1,246.36000000,0.360000,0.345000,28.50000,,,,56.600,0,125.763046,-49.200359,20.77,,,0.0750,,,,DENIS-P J082303.1-491201 b,2013,
87,DH Tau,b,Imaging,1,,330.000000,,11.00000,,,,,0,67.423157,26.549520,140.00,,,0.3300,0.27,,,DH Tau b,2004,http://exoplanet.eu/catalog/dh_tau_b/
88,DP Leo,b,Eclipse Timing Variations,1,10220.00000000,8.190000,0.390000,,6.05000,,,,0,169.316667,17.961417,,,,0.6900,,,,DP Leo b,2009,http://exoplanet.eu/catalog/dp_leo_b/
89,FU Tau,b,Imaging,1,,800.000000,,15.71100,,,,,0,65.898911,25.049898,,,,,,,,FU Tau b,2008,http://exoplanet.eu/catalog/fu_tau_b/
90,Fomalhaut,b,Imaging,1,318280.00000000,115.000000,0.130000,2.60000,,1.200,,,0,344.412689,-29.622236,7.69,1.160,,2.0000,,HD 216956,HIP 113368,Fomalhaut b,2008,http://exoplanet.eu/catalog/fomalhaut_b/
91,GJ 1214,b,Transit,1,1.58040482,,,0.02000,,0.203,3.03000,90.000,0,258.828827,4.963920,,15.100,3170.00,0.1560,0.18,,,GJ 1214 b,2009,http://exoplanet.eu/catalog/gj_1214_b/
92,GJ 15 A,b,Radial Velocity,1,11.44330000,0.071700,0.000000,,0.01700,,,,0,4.595356,44.022953,3.57,8.080,3567.00,0.3750,0.39,HD 1326 A,HIP 1475,GJ 15 A b,2014,http://exoplanet.eu/catalog/gl_15_a_b/
93,GJ 163,b,Radial Velocity,3,8.63100000,0.061000,0.110000,,0.03500,,,,0,62.315273,-53.373699,14.97,11.810,3500.00,0.4000,,,HIP 19394,GJ 163 b,2013,http://exoplanet.eu/catalog/gj_163_b/
94,GJ 163,c,Radial Velocity,3,25.60000000,0.130000,0.080000,,0.02400,,,,0,62.315273,-53.373699,14.97,11.810,3500.00,0.4000,,,HIP 19394,GJ 163 c,2013,http://exoplanet.eu/catalog/gj_163_c/
95,GJ 163,d,Radial Velocity,3,603.00000000,1.000000,0.410000,,0.07900,,,,0,62.315273,-53.373699,14.97,11.810,3500.00,0.4000,,,HIP 19394,GJ 163 d,2013,http://exoplanet.eu/catalog/gj_163_d/
96,GJ 179,b,Radial Velocity,1,2288.00000000,2.410000,0.210000,,0.82000,,,,0,73.023865,6.476539,12.12,12.000,3370.00,0.3570,0.38,,HIP 22627,GJ 179 b,2009,http://exoplanet.eu/catalog/gl_179_b/
97,GJ 3021,b,Radial Velocity,1,133.71000000,0.490000,0.511000,,3.37000,,,,0,4.052823,-79.851181,17.62,6.590,5540.00,0.9000,0.90,HD 1237,HIP 1292,GJ 3021 b,2000,http://exoplanet.eu/catalog/gj_3021_b/
98,GJ 317,b,Radial Velocity,1,692.00000000,1.150000,0.110000,2.50000,1.80000,,,45.000,0,130.246735,-23.456289,15.10,11.970,3510.00,0.4200,,,,GJ 317 b,2007,http://exoplanet.eu/catalog/gj_317_b/
99,GJ 328,b,Radial Velocity,1,4100.00000000,4.500000,0.370000,,2.30000,,,,0,133.781754,1.546508,20.03,9.970,3900.00,0.6900,,,HIP 43790,GJ 328 b,2013,http://exoplanet.eu/catalog/gj_328_b/
100,GJ 3293,b,Radial Velocity,2,30.60000000,0.143400,0.070000,,0.08100,,,,0,67.148819,-25.169300,,11.962,3466.00,0.4200,0.40,,,GJ 3293 b,2014,
101,GJ 3293,c,Radial Velocity,2,123.75000000,0.364000,0.330000,,0.08100,,,,0,67.148819,-25.169300,,11.962,3466.00,0.4200,0.40,,,GJ 3293 c,2014,
102,GJ 3341,b,Radial Velocity,1,14.20700000,0.089000,0.310000,,0.02080,,,,0,78.944664,-31.295952,,12.080,3526.00,0.4700,0.44,,,GJ 3341 b,2014,
103,GJ 3470,b,Radial Velocity,1,3.33664870,0.031000,0.017000,0.04300,,0.346,1.18000,88.880,0,119.774345,15.391492,25.20,12.330,3652.00,0.5100,0.48,,,GJ 3470 b,2012,http://exoplanet.eu/catalog/gj_3470_b/
